 	Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)	Y(IJ)	X(FITS)	Y(FITS)	Source-Sky	Source_Error	Source_SNR	Peak	Mean	Sky/Pixel	Width	X-Width	Y-Width	Angle	Roundness
60	pulsar-160.fit	60.000000	0.000000	56941.433290	2456941.433290	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2145.084333	2421.342094	0.885907	2023.000000	1999.989974	1999.054889	36.594257	28.712389	44.476125	271.323913	0.830163
61	pulsar-161.fit	61.000000	0.000000	56941.433302	2456941.433302	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1886.980795	2420.485482	0.779588	2026.000000	1999.916303	1999.093731	34.066416	30.437378	37.695454	291.507487	0.916987
62	pulsar-162.fit	62.000000	0.000000	56941.433325	2456941.433325	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	3674273.746978	3088.866927	1189.521541	8623.000000	3608.142982	2006.454339	24.303341	22.877195	25.729488	76.884036	0.982999
63	pulsar-163.fit	63.000000	0.000000	56941.433336	2456941.433336	NaN	NaN	NaN	NaN	NaN	-24.500000	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	2202.762179	2418.666260	0.910734	2024.000000	1999.803400	1998.843173	34.012888	38.221105	29.804672	10.906860	0.931086
64	pulsar-164.fit	64.000000	0.000000	56941.433348	2456941.433348	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1905.595632	2420.165314	0.787382	2023.000000	1999.807759	1998.977073	34.265755	32.851629	35.679880	68.501278	0.987308
65	pulsar-165.fit	65.000000	0.000000	56941.433359	2456941.433359	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1588.288150	2418.792758	0.656645	2029.000000	1999.695728	1999.003362	30.799713	19.703654	41.895772	80.326935	0.543130
66	pulsar-166.fit	66.000000	0.000000	56941.433371	2456941.433371	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1294.008237	2421.064053	0.534479	2026.000000	1999.555362	1998.991278	33.114753	27.997979	38.231527	287.925397	0.861337
67	pulsar-167.fit	67.000000	0.000000	56941.433383	2456941.433383	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1141.720642	2421.939492	0.471408	2023.000000	1999.454664	1998.956966	40.180028	36.991785	43.368272	270.035863	0.975129
68	pulsar-168.fit	68.000000	0.000000	56941.433406	2456941.433406	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	1957.533070	2426.180770	0.806837	2025.000000	1999.978204	1999.124877	36.952038	34.681115	39.222961	69.081535	0.972989
69	pulsar-169.fit	69.000000	0.000000	56941.433417	2456941.433417	NaN	NaN	NaN	NaN	NaN	-24.562500	0.500000	NaN	NaN	27.000000	48.000000	72.000000	98.973545	318.306878	99.473545	194.193122	4644913.860828	3243.439594	1432.095073	10306.000000	4033.017437	2008.207558	24.301745	22.875523	25.727967	76.871792	0.982988
